                                                         Start    End   MTB   Video   Remarks
D:\Prenestini\Mentorella\DJI_20250710113127_0012_D.MP4
                                                         00:00   01:19   4      2     Start of track, rock gardens
                                                         01:51   02:06   4      2     Tight, steep and rocky switchback
                                                         04:44   05:14   4      2     Drops
                                                         05:30   05:50   4      2     Rocky garden
                                                         08:23   09:03   4      2     Rocky garden
                                                         09:04   09:34   1      1     Pause
                                                         09:35   14:35   2      1     Very slow technical passages with many pauses
                                                         14:40   14:50   4      2     Drop
                                                         14:51   15:51   2      1     Rocky outcrop but dismounted
